identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
787258,B13,1924/7516,"Charlie Lam Sun (Charlie Shack Mayberry) - Arrived Sydney per ""Taiyuan"" 15.3.1924",1924 - circa1924,1924,,Open,Melbourne,False,0
790335,B13,1926/6755,"Edward Traynor - permission to enter Australia - arrived per ""Beltana"" 13.5.1926",1926 - 1926,1926,1926,Open,Melbourne,False,0
3280504,B13,V1960/14261,Tabacco sales in Victoria [1.00 cms],1960 - 1962,1960,1962,Open,Melbourne,False,0
3280538,B13,V1979/4475,"James Richardson Co Pty Ltd, Licensed Warehouse, Richardsons Bond [Contains plans of Richardssons Bons] [4.00 cms]",1963 - 1984,1963,1984,Open with exception,Melbourne,False,0
3283801,B13,V1953/12491,Tobacco & Cigarettes - Duty Free issues to Ships Crews [2cm],1945 - 1957,1945,1957,Open,Melbourne,False,0
3283835,B13,V1955/25330,Tariff Classification of Hauric Filter Tip Cigarette Making Machine [5 pages],1955 - 1958,1955,1958,Open,Melbourne,False,0
3283846,B13,V1954/14943,Tariff Classification of Molins Mark V Cigarette Making Machine (International Tobacco Company) [9 pages],1954 - 1957,1954,1957,Open,Melbourne,False,0
3283869,B13,V1962/20199,Comptroller-General Tobacco Statistics - Share of Market [3.5 cm],1962 - 1965,1962,1965,Open,Melbourne,False,0
4154951,B13,V1973/8188,Proclamation of boarding station within Ports of Melbourne and Port Philip,1948 - 1962,1948,1962,Not yet examined,Melbourne,False,0
4154952,B13,V1974/2080,B V East - Customs agent's licence,1953 - 1976,1953,1976,Not yet examined,Melbourne,False,0
4154953,B13,V1974/2089,A W Oatley - Customs agent's licence,1942 - 1975,1942,1975,Not yet examined,Melbourne,False,0
4154955,B13,V1974/2636,Geelong Customs House - Repairs and maintenance,1969 - 1976,1969,1976,Open with exception,Melbourne,False,0
4154956,B13,V1974/2819,Rose and sons - Section 214 action (1966),1966 - 1975,1966,1975,Not yet examined,Melbourne,False,0
4154957,B13,V1974/6750,B G Crooke - Customs agent's licence,1944 - 1976,1944,1976,Not yet examined,Melbourne,False,0
4154958,B13,V1974/6751,H E Lang - Customs agent's licence,1933 - 1981,1933,1981,Not yet examined,Melbourne,False,0
4154959,B13,V1974/6757,E O Jago - Customs agent's licence,1939 - 1981,1939,1981,Not yet examined,Melbourne,False,0
4154960,B13,V1974/6763,C E D Sanders - Customs agent's licence,1953 - 1976,1953,1976,Not yet examined,Melbourne,False,0
4154961,B13,V1974/7054,Mobil Oil Australia Ltd - Mobil bond,1957 - 1971,1957,1971,Not yet examined,Melbourne,False,0
4154962,B13,V1976/2603,Entry of goods under Section 162 of the Customs Act - General rulings,1933 - 1980,1933,1980,Not yet examined,Melbourne,False,0
4154963,B13,V1976/2726,O E Thomas - Customs agent's licence,1953 - 1980,1953,1980,Not yet examined,Melbourne,False,0
4154964,B13,V1976/2914,Blyth Street development stage 1 - Restoration of Queens Warehouse building (Folio 1-158),1971 - 1976,1971,1976,Not yet examined,Melbourne,False,0
4154965,B13,V1976/3465,Bond marking of general warehouse,1945 - 1978,1945,1978,Not yet examined,Melbourne,False,0
4154966,B13,V1976/3705,R Flower - Customs agent's licence,1946 - 1977,1946,1977,Not yet examined,Melbourne,False,0
4154967,B13,V1976/3875,W D and H O Wills - Declared weights for cigars - Policy,1957 - 1969,1957,1969,Not yet examined,Melbourne,False,0
4154968,B13,V1976/3962,Sir J P Williams - Customs agent's license,1937 - 1980,1937,1980,Not yet examined,Melbourne,False,0
4154969,B13,V1976/4507,"Visit of His Excellency, The Governor of Victoria - 28th June 1976",1976 - 1976,1976,1976,Not yet examined,Melbourne,False,0
4154970,B13,V1976/5061,Philip Morris Ltd - Philip Morris Bond - Licenced warehouse,1954 - 1980,1954,1980,Not yet examined,Melbourne,False,0
4154971,B13,V1976/8525,G D Carr - Customs agent's licence,1948 - 1977,1948,1977,Not yet examined,Melbourne,False,0
4154972,B13,V1977/2123,Geelong Customs House - Repairs and maintenance,1977 - 1981,1977,1981,Not yet examined,Melbourne,False,0
4154973,B13,V1977/2195,Live aquarium fish - Policy - Customs (prohibited imports) Regulations,1953 - 1978,1953,1978,Not yet examined,Melbourne,False,0
4154974,B13,V1977/2527,Raw materials used in the manufacture of spirit for gin,1946 - 1980,1946,1980,Not yet examined,Melbourne,False,0
4154975,B13,V1977/3257,Department of Health - Bonds for ships animals - policy and procedure,1948 - 1980,1948,1980,Not yet examined,Melbourne,False,0
4154976,B13,V1977/3583,Value for duty - decisions relating to policy,1952 - 1977,1952,1977,Not yet examined,Melbourne,False,0
4154977,B13,V1977/3623,Dunnage timber - Admission under by-law - Policy,1952 - 1977,1952,1977,Not yet examined,Melbourne,False,0
4154978,B13,V1977/3688,Sussex Tobacco Mfg Co Pty Ltd - Licenced to manufacture tobacco,1950 - 1978,1950,1978,Not yet examined,Melbourne,False,0
4154979,B13,V1977/6257,G E Green - Customs agent's licence,1948 - 1981,1948,1981,Not yet examined,Melbourne,False,0
4154980,B13,V1977/6538,Melbourne Harbour Trust Commissioners - Control of visitors to piers on arrival and departure of passenger ships,1958 - 1969,1958,1969,Not yet examined,Melbourne,False,0
4154981,B13,V1977/6786,Diesel fuel - Departmental procedure - Policy,1957 - 1982,1957,1982,Not yet examined,Melbourne,False,0
4154982,B13,V1978/7467,Placement of entries - Policy and procedure,1954 - 1972,1954,1972,Not yet examined,Melbourne,False,0
4154983,B13,V1978/9480,J C Kennedy - Customs agent's licence,1958 - 1979,1958,1979,Not yet examined,Melbourne,False,0
4154984,B13,V1978/9985,R O Moody - Customs agent's licence,1959 - 1981,1959,1981,Not yet examined,Melbourne,False,0
4154985,B13,V1978/2601,Keith Oswald Campbell - Customs agent's licence,1950 - 1979,1950,1979,Not yet examined,Melbourne,False,0
4154986,B13,V1978/4556,Birds and animals - Customs (Prohibited Imports) Regulations,1947 - 1981,1947,1981,Not yet examined,Melbourne,False,0
4154987,B13,V1978/5683,A E South - Customs agent's licence,1935 - 1981,1935,1981,Not yet examined,Melbourne,False,0
4154988,B13,V1978/6905,J J Johnston - Customs agent's licence,1949 - 1984,1949,1984,Not yet examined,Melbourne,False,0
4154989,B13,V1979/2140,"Coastal surveillance - CASOS - Includes customs ""Nomad"" Program",1974 - 1984,1974,1984,Not yet examined,Melbourne,False,0
4154990,B13,V1979/2658,C Harrison - Customs agent's licence,1951 - 1979,1951,1979,Not yet examined,Melbourne,False,0
