identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
319709,D596,1902/647,Immigration Restriction Act - Domicile Certificate,1902 - 1902,1902,1902,Open,Adelaide,False,0
319888,D596,1908/5433,Chinese prohibited immigrants,1908 - 1908,1908,1908,Open,Adelaide,False,0
320267,D596,1914/5906,War between Great Britain & Turkey - Proclamation,1914 - 1914,1914,1914,Open,Adelaide,False,0
320290,D596,1914/6869,Proclamation extending the scope of certain existing proclamations and a certain order in Council connected with the war,1914 - 1914,1914,1914,Open,Adelaide,False,0
320382,D596,1916/1544,Public Trustee Herman P ZONDER - enemy shareholder,1917 - 1918,1917,1918,Open,Adelaide,False,0
321635,D596,1917/4951,Transfer of shares to Public Trustee - Carl Friedrich MATTISKE,1917 - 1917,1917,1917,Open,Adelaide,False,0
321673,D596,1918/1324,"Notice to masters of overseas vessels of restrictions in regard to ships wharves, docks etc",1915 - 1918,1915,1918,Open,Adelaide,False,0
321688,D596,1918/3119,'Lavinia' to be broken up,1918 - 1918,1918,1918,Open,Adelaide,False,0
321728,D596,1919/3903,Identification Cards,1913 - 1919,1913,1919,Open,Adelaide,False,0
321762,D596,1920/3619,Immigration Act - Wong Pork GAR ex 'Chang Sha',1920 - 1920,1920,1920,Open,Adelaide,False,0
321816,D596,1921/5613,Telegraphic Communications,1918 - 1921,1918,1921,Open,Adelaide,False,0
321891,D596,1927/1378,Admission of Mengha Sirgh,1925 - 1927,1925,1927,Open,Adelaide,False,0
321918,D596,1934/1830,Immigration report on 'Bendigo',1934 - 1934,1934,1934,Open,Adelaide,False,0
343415,D596,1904/102,'Moonta' bill of sale,1913 - 1913,1913,1913,Open,Adelaide,False,0
503552,D596,1903/1354,Surveyors report on ship `New Arrival',1903 - 1903,1903,1903,Open,Adelaide,False,0
503553,D596,1902/3150,Attorney Generals opinion - Meaning of `European race or descent',1901 - 1902,1901,1902,Open,Adelaide,True,3
513690,D596,1910/3922,Registration bill of sale for seven River Murray vessels,1910 - 1910,1910,1910,Open,Adelaide,True,20
980304,D596,1871/127,Proposing NH CHAMIK and NN GALL as sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980306,D596,1871/152,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980308,D596,1871/155,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980311,D596,1871/160,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980322,D596,1871/184,"Enclosing cheque for 50 pounds - sterling, amount of bonded store license fee, and proposing sureties",1871 - 1871,1871,1871,Open,Adelaide,False,0
980325,D596,1871/193,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980326,D596,1871/209,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980328,D596,1871/217,Sureties for bonded store license - proposing,1871 - 1871,1871,1871,Open,Adelaide,False,0
980331,D596,1871/296,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980333,D596,1871/421,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980334,D596,1871/425,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980335,D596,1871/439,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980336,D596,1871/467,Proposing sureties for bonded store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980338,D596,1871/470,"Applying for license for No. 6 bonded store, and proposing sureties",1871 - 1871,1871,1871,Open,Adelaide,False,0
980380,D596,1919/5142,Memorandum re the General Vesting Order under section 9(1) - Trading with the Enemy Act 1914-1916,1919 - 1923,1919,1923,Open,Adelaide,False,0
980382,D596,1871/515,Proposing surety for bonded store license in place of Mr J STONE out of the colony,1871 - 1871,1871,1871,Open,Adelaide,False,0
980386,D596,1871/547,Sureties for bonding store,1871 - 1871,1871,1871,Open,Adelaide,False,0
980387,D596,1871/568,Proposing sureties for bonding store license,1871 - 1871,1871,1871,Open,Adelaide,False,0
980389,D596,1919/5163,Offences against Customs Act and Regulations re GO 1205(a) and form 'K2',1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980390,D596,1871/593,Sureties for bonding store license - proposing,1871 - 1871,1871,1871,Open,Adelaide,False,0
980394,D596,1919/5418,"Trust Fund, debts due enemy subjects, trading with the Enemy Act",1914 - 1921,1914,1921,Open,Adelaide,False,0
980397,D596,1919/5444,"Prohibition of Exportation of Preventives of Contraception, etc",1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980399,D596,1919/5522,'Morning Star' - transfer of ownership,1919 - 1920,1919,1920,Not yet examined,Adelaide,False,0
980403,D596,1919/5826,'Eva' - transfer of ownership to R BISHOP,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980405,D596,1919/5846,'Florence Maud' - transfer to Geo [George] ANDERSON,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980409,D596,1919/5857,Exportation of cinema films,1918 - 1919,1918,1919,Open,Adelaide,False,0
980413,D596,1919/6095,Chinese residents of Straits settlements - approval of passports,1919 - 1919,1919,1919,Open,Adelaide,False,0
980414,D596,1886/394,Requesting to be informed amount of compensation due to Mr Jones to the present date,1886 - 1886,1886,1886,Open,Adelaide,False,0
980417,D596,1919/6147,Commerce Regulations - stamping of imported jewellery,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980418,D596,1900/751,Information requests - statistics,1900 - 1900,1900,1900,Open,Adelaide,False,0
980419,D596,1919/6148,Terminology in correspondence re: date,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980420,D596,1900/874,'Maid of Australia' - wrecked in Spencer Gulf,1900 - 1900,1900,1900,Open,Adelaide,False,0
980423,D596,1919/6169,"War Precautions Regulation No. 17(a) - unauthorised persons not allowed on certain ships, issue of custom passes to officers",1916 - 1919,1916,1919,Open,Adelaide,False,0
980425,D596,1919/6176,Commonwealth light dues,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980428,D596,1919/6284,Exportation of dried fruit,1916 - 1920,1916,1920,Not yet examined,Adelaide,False,0
980430,D596,1901/8,1. Congratulations 2. Suggestions for Federal Customs Act 3. Other matters requiring early attention,1901 - 1901,1901,1901,Open,Adelaide,False,0
980432,D596,1919/6315,Motor vessels - changing of names,1916 - 1919,1916,1919,Not yet examined,Adelaide,False,0
980433,D596,1901/14,'Otago' - certificate of registry,1901 - 1901,1901,1901,Open,Adelaide,False,0
980434,D596,1919/6436,Samples containing liquids sent by post,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980435,D596,1901/16,Draft Customs Regulation Bill,1901 - 1901,1901,1901,Open,Adelaide,False,0
980436,D596,1919/6482,Commerce Act - definition of milled butter,1920 - 1920,1920,1920,Not yet examined,Adelaide,False,0
980437,D596,1919/6672,Merchant Shipping Act - ships registered at Port Adelaide,1918 - 1924,1918,1924,Open,Adelaide,False,0
980438,D596,1901/17,Diminution of Customs revenue through Intercolonial Free Trade,1901 - 1901,1901,1901,Open,Adelaide,False,0
980439,D596,1919/6901,Delay in delivery of parcels through the post,1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980440,D596,1901/240,Properties used by Customs Department,1901 - 1901,1901,1901,Open,Adelaide,False,0
980441,D596,1901/241,Matters dealt with by Collector since 1/1/01,1901 - 1901,1901,1901,Open,Adelaide,False,0
980442,D596,1901/420,Treaty with Honduras,1901 - 1901,1901,1901,Open,Adelaide,False,0
980443,D596,1901/541,Orders in Council and when necessary in connection with the Customs Department SA,1901 - 1901,1901,1901,Open,Adelaide,False,0
980444,D596,1901/883,Kerosene installations - Birkenhead,1901 - 1901,1901,1901,Open,Adelaide,False,0
980445,D596,1901/993,Practicability of shewing 'Country of Origin' in our returns,1901 - 1901,1901,1901,Open,Adelaide,False,0
980446,D596,1919/7010,"'Wellington' - official No. 79266 R FRICKER & Co - application for transfer of ownership from Alfred TAINSH to William JH JOHNSON and Andrew W TODD, each 32 shares - mortgage in favour of Alfred TAINSH",1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980449,D596,1919/7155,"Deportation Orders - prohibited immigrants convicted under Section 7, Immigration Act 1901-1912",1919 - 1919,1919,1919,Open,Adelaide,False,0
980453,D596,1919/7175,Notice of cancellation of 'Prohibited Publications' - Regulation 28AB(1) of War Precautions Regulations,1918 - 1919,1918,1919,Open,Adelaide,False,0
980460,D596,1919/7178,"'Young Foster' - official No 79340, transfer to AJ JOHANSSON an unnaturalised Swede",1919 - 1919,1919,1919,Not yet examined,Adelaide,False,0
980463,D596,1919/7262,'Maggie' remeasurement and transfer of registry to Melbourne,1909 - 1920,1909,1920,Not yet examined,Adelaide,False,0
