identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
1146999,SP11/26,A1,William Ah Bow,1902 - 1902,1902,1902,Open,Sydney,False,0
1511061,SP11/26,A2/69,"Ah Mung, Fong Tung",1902 - 1902,1902,1902,Open,Sydney,False,0
1511086,SP11/26,A3/70123,"Bez Mahomet, Zareen, Doz Mahomet, Adam Khan [4 Afghans]",1902 - 1902,1902,1902,Open,Sydney,False,0
1511100,SP11/26,A4/74,Ah Kee,1902 - 1902,1902,1902,Open,Sydney,False,0
1511125,SP11/26,A5/54,Ah Chong,1902 - 1902,1902,1902,Open,Sydney,False,0
1511129,SP11/26,A6/24,Ah Gow,1902 - 1902,1902,1902,Open,Sydney,False,0
1511137,SP11/26,A7/26,Ah Chee,1902 - 1902,1902,1902,Open,Sydney,False,0
1511141,SP11/26,A8/30,Ah Shore,1902 - 1902,1902,1902,Open,Sydney,False,0
1511150,SP11/26,B2/76,Billy Loong Sing and Sam Fong Sing,1902 - 1902,1902,1902,Open,Sydney,False,0
1511181,SP11/26,B3/85,Bedi Joseph,1902 - 1902,1902,1902,Open,Sydney,False,0
1511193,SP11/26,B4/55,Barket Ali,1902 - 1902,1902,1902,Open,Sydney,True,8
1511194,SP11/26,C11,Chat Wing Mar Hong,1902 - 1902,1902,1902,Open,Sydney,False,0
1511205,SP11/26,J9/78,Jimmy Young,1902 - 1902,1902,1902,Open,Sydney,False,0
1511225,SP11/26,J10,Jimmy Chuck,1902 - 1902,1902,1902,Open,Sydney,True,32
1511233,SP11/26,J14,James Kem Yee,1902 - 1902,1902,1902,Open,Sydney,True,13
1511246,SP11/26,K2,Kum Mock,1902 - 1902,1902,1902,Open,Sydney,False,0
1511262,SP11/26,K3,H W G Ky Ling,1902 - 1902,1902,1902,Open,Sydney,True,13
1511270,SP11/26,K5,Kday Yee,1902 - 1902,1902,1902,Open,Sydney,False,0
1511279,SP11/26,L2/35,Loo Foon,1902 - 1902,1902,1902,Open,Sydney,False,0
1511302,SP11/26,L3/36,Leon Myerson,1902 - 1902,1902,1902,Open,Sydney,False,0
1511306,SP11/26,L9,Lee Shing,1902 - 1902,1902,1902,Open,Sydney,False,0
1511312,SP11/26,L12,Low Kum,1902 - 1902,1902,1902,Open,Sydney,False,0
1511315,SP11/26,S9,Soo Fow,1902 - 1902,1902,1902,Open,Sydney,False,0
1511319,SP11/26,T3/47,Tung Hack,1902 - 1902,1902,1902,Open,Sydney,False,0
1511321,SP11/26,W4,"Walter Ah Wing, son of Chin Ah Song",1902 - 1902,1902,1902,Open,Sydney,True,18
1511332,SP11/26,W,Charlie Way,1902 - 1902,1902,1902,Open,Sydney,False,0
1511337,SP11/26,W11/52,Wong Lee,1902 - 1902,1902,1902,Open,Sydney,False,0
