identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
692978,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Asian passengers per the SS Aki Maru Sydney 13/5/27 [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692979,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Chinese passengers per the SS Arafura Sydney 21/5/27 [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692980,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Chinese passengers per the SS Changte Sydney 04/5/27 [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692981,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Chinese passengers per the SS St Albans Sydney 22/4/27 [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692982,SP11/6,1,"Chinese Sydney Taiping, 6 April 1927",1927 - 1927,1927,1927,Open,Sydney,True,323
692983,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Miscellaneous passengers per the Bonadventure 16/4/46, Empire Joy 22/5/46, Pioneer 14/12/45, Yumman 4/8/46, Madura 26/8/46 Sydney [BOX 1]",1945 - 1946,1945,1946,Open,Sydney,False,0
692984,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Indian passengers per the SS Commisaire Ramel 07/3/27 Sydney [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692985,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Chinese passengers per the SS Tango Maru 11/4/27 Sydney [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692986,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Chinese passenger per the SS Ulimaroa 10/5/27 Sydney [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
692987,SP11/6,NN,"Certificate Exempting From Dictation Test, Immigration Act 1901-1925: Indian passengers per the SS Ville De Strasbourg 24/4/27 Sydney [BOX 1]",1927 - 1927,1927,1927,Open,Sydney,False,0
